data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
7000529,8,ALB367,367,3/21/2019,2019,1,Riots,Violent demonstration,Rioters (Albania),PD: Democratic Party of Albania; LSI: Socialist Movement for Integration,5,Police Forces of Albania (2013-),,1,15,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,AP; Albanian Daily News; NOA,National-International,"On 21 March, several thousand opposition demonstrators [size=several thousand] tried to enter Albania's Parliament building and called for the government's resignation and early elections. There were clashes with police, as demonstrators threw projectiles and firecrackers and tried to break off police cordons. One demonstrator and two policemen suffered non-life threatening injuries.",0,1585075529,ALB
7000528,8,ALB366,366,3/20/2019,2019,1,Riots,Violent demonstration,Rioters (Albania),Farmers (Albania); Labour Group (Albania),5,Police Forces of Albania (2013-),,1,15,Europe,Albania,Fier,Lushnje,,Lushnje,40.9419,19.705,2,Albanian Daily News; Radio and Televizioni Shqiptar,National,"On 20 March, farmers and milk producers [size=no report] demonstrated at the Lushnje-Fier highway against the new VAT scheme, which would result in economic losses for their business. Local media reported they threw produce and milk at the police, which resulted in clashes. No injuries were reported.",0,1585075529,ALB
7290486,8,ALB364,364,3/19/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),PD: Democratic Party of Albania; Students (Albania),6,,,0,60,Europe,Albania,Durres,Durres,,Durres,41.3231,19.4414,1,Albanian Daily News,National,"On 19 March, Interior Minister Sander Lleshaj was met with protests [size=no report] in his visit to Durres by student supporters of the Democratic Party. Students protested outside the university where he had a meeting, shouting 'Shame on you' and said he was part of an 'illegitimate government.'",0,1604423640,ALB
7000799,8,ALB365,365,3/19/2019,2019,1,Protests,Protest with intervention,Protesters (Albania),PD: Democratic Party of Albania,6,Police Forces of Albania (2013-),,1,16,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Albanian Daily News,National,"On 19 March, residents of the Astir area in Tirana and members of the opposition Democratic Party [size=no report] protested against the Big Ring road construction demanding full compensation for their demolished property. The protest ceased after six protesters were arrested for blocking the road and opposing the police.",0,1585075530,ALB
7000526,8,ALB361,361,3/17/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),,6,,,0,60,Europe,Albania,Lezhe,Mirdite,,Rreshen,41.7675,19.8756,2,Albanian Daily News; Tirana Times,National,"On 17 March, residents of the village of Kurbnesh, Mirdite [size=no report] protested against the construction of two hydroelectric power plants in the river Uraka, which would harm the river's ecological balance in their opinion. Protesters also expressed solidarity with a child who was attacked with teargas the day before and appealed for no such incidents.",0,1585075529,ALB
7000527,8,ALB363,363,3/17/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),PD: Democratic Party of Albania; Students (Albania),6,,,0,60,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,TV Klan; NOA,National,"On 17 March, after the anti-government protest in Tirana finished, opposition leaders and residents of the Astir area [size=no report] gathered in front of the Police Directorate to demand police to release recently detained anti-government demonstrators.",0,1585075529,ALB
7000797,8,ALB362,362,3/17/2019,2019,1,Protests,Protest with intervention,Protesters (Albania),,6,Police Forces of Albania (2013-),Government of Albania (2013-); PS: Socialist Party of Albania,1,16,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Albanian Daily News,National,"On 17 March, two men sprayed ink over Tirana's Mayor Erion Veliaj presumably during protests [size=no report] against the government coinciding with the Summer Day celebration in Tirana. Police intervened immediately and accompanied the men to a police station.",0,1585075530,ALB
7000525,8,ALB360,360,3/16/2019,2019,1,Riots,Violent demonstration,Rioters (Albania),PD: Democratic Party of Albania,5,Police Forces of Albania (2013-),,1,15,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,TV Klan; AP; Albanian Daily News; AFP,National-International,"On 16 March, weekly anti-government demonstrations organized by the Democratic Party continued in Tirana. Police used tear gas and water cannon against stone-throwing demonstrators, as thousands [size=thousands] tried to force their way into the parliament building. Clashes continued for more than an hour.",0,1585075529,ALB
5079766,8,ALB359,359,3/15/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),PD: Democratic Party of Albania,6,,,0,60,Europe,Albania,Durres,Durres,,Durres,41.3231,19.4414,2,Radio and Televizioni Shqiptar,National,"On 15 March, civil society representatives and the Democratic Party branch in Durres [size=no report] protested against a construction project which might destroy archaeological sights in the region dating back to the Roman and Byzantine periods.",0,1553853269,ALB
5535311,8,ALB357,357,3/13/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),Labour Group (Albania); Farmers (Albania),6,,,0,60,Europe,Albania,Fier,Lushnje,,Lushnje,40.9419,19.705,1,Radio and Televizioni Shqiptar; Albanian Daily News,National,"On 13 March, farmers and milk producers [size=no report] in Lushnje protested against the new VAT reimbursement scheme imposed by government. Protesters spilled buckets of milk on the streets.",0,1561483030,ALB
